"Country_Name","Country_Code","Avg_Revenue","Min_Max_Normalized","Z_Score_Normalized"
"Aruba","ABW",1604272727.27273,0.00790092256603655,-0.269241485032481
"Afghanistan","AFG",104818181.818182,0.000505208862550681,-0.354538356335217
"Angola","AGO",780181818.181818,0.00383628422954453,-0.316120115950348
"Albania","ALB",1840363636.36364,0.00906538652189642,-0.255811390769525
"Andorra","AND",1.91e+09,0.00940885182424092,-0.251850107671556
"United Arab Emirates","ARE",21627563742.8977,0.106661187224978,0.869788758994849
"Argentina","ARG",5296727272.72727,0.0261131029646352,-0.0591952244708712
"Armenia","ARM",967181818.181818,0.00475861859889523,-0.305482571129824
"American Samoa","ASM",2.2e+07,9.67272823472361e-05,-0.359249490672357
"Antigua and Barbuda","ATG",790142857.142857,0.0038854147567542,-0.31555347959523
"Australia","AUS",37176181818.1818,0.183351159667448,1.7542760406689
"Austria","AUT",21751666666.6667,0.107273296272726,0.876848386876936
"Azerbaijan","AZE",2185009088.68963,0.0107652707246808,-0.236206142393548
"Burundi","BDI",2899999.97615814,2.52093755264513e-06,-0.360335999262334
"Belgium","BEL",11456636363.6364,0.0564954338021821,0.291212845287952
"Benin","BEN",172325999.450684,0.000838175602670015,-0.350698156143765
"Burkina Faso","BFA",1.58e+08,0.00076751591460229,-0.351513094439248
"Bangladesh","BGD",206227272.727273,0.0010053858139414,-0.348769673181452
"Bulgaria","BGR",4097363636.36364,0.0201975184557174,-0.127421344459775
"Bahrain","BHR",2646818181.81818,0.0130430375624944,-0.209936009095791
"Bahamas","BHS",2618090909.09091,0.0129013469155742,-0.2115701676584
"Bosnia and Herzegovina","BIH",821818181.818182,0.00404164598995416,-0.313751620312137
"Belarus","BLR",999409090.909091,0.00491757218855727,-0.303649314134746
"Bermuda","BMU",440300000,0.00215989555346701,-0.335454383728906
"Bolivia, Plurinational State of","BOL",689727272.727273,0.00339013804699521,-0.321265646867422
"Brazil","BRA",6117818181.81818,0.0301629444930627,-0.0124872493522642
"Barbados","BRB",987857142.857143,0.00486059486919221,-0.30430644977735
"Brunei Darussalam","BRN",132142857.142857,0.00063998152128489,-0.352983984899535
"Bhutan","BTN",107727272.727273,0.000519557282491966,-0.354372871923813
"Botswana","BWA",502946363.969283,0.00246888429466339,-0.331890728624275
"Central African Republic","CAF",1.5e+07,6.22013968635201e-05,-0.359647687537296
"Canada","CAN",1.9217e+10,0.0947716375480513,0.732663198257923
"Switzerland","CHE",19338272727.2727,0.0953697873043536,0.739561829658302
"Chile","CHL",3.101e+09,0.0152831846258275,-0.184099755365437
"Côte d'Ivoire","CIV",314390909.368342,0.00153887800425166,-0.342616755894177
"Cameroon","CMR",498727272.727273,0.00244807460022525,-0.332130732753626
"Congo, The Democratic Republic of the","COD",17077777.7777778,7.24495565229723e-05,-0.359529492594846
"Congo","COG",50442858.0147879,0.000237015119296974,-0.357631511116442
"Colombia","COL",4881090909.09091,0.0240630724655241,-0.0828388097501307
"Comoros","COM",50709999.0844727,0.000238332731008392,-0.357616314725521
"Cabo Verde","CPV",4.27e+08,0.00209429637104795,-0.336210957772291
"Costa Rica","CRI",3175363636.36364,0.0156499661105765,-0.179869560098938
"Cuba","CUB",2585181818.18182,0.0127390304149884,-0.213442210062401
"Curaçao","CUW",615636363.636364,0.00302470172661562,-0.325480327970352
"Cayman Islands","CYM",658600000,0.00323660995362347,-0.323036330069439
"Cyprus","CYP",2656696755.14915,0.013091761347004,-0.209374063820011
"Czechia","CZE",7474545454.54545,0.0368546888431793,0.0646905430159922
"Germany","DEU",54488500000,0.268740176096464,2.73909187278798
"Djibouti","DJI",29066666.6666667,0.00013158198578794,-0.358847501456323
"Dominica","DMA",138444444.444444,0.00067106264721921,-0.352625517427016
"Denmark","DNK",7121777777.77778,0.0351147436416883,0.0446232597387282
"Dominican Republic","DOM",5722888888.88889,0.0282150468442282,-0.0349529073975759
"Algeria","DZA",246500000,0.00120402175250356,-0.346478748361086
"Ecuador","ECU",1453454545.45455,0.00715704666970558,-0.277820817486176
"Egypt","EGY",9017090909.09091,0.0444629385170455,0.15243865216264
"Eritrea","ERI",4.8e+07,0.000224966285572467,-0.357770473745439
"Estonia","EST",1966125000,0.00968567544178,-0.248657422093739
"Ethiopia","ETH",2366909090.90909,0.0116624505312689,-0.225858712305511
"Finland","FIN",4855727272.72727,0.023937972179161,-0.084281626962054
"Fiji","FJI",1023909090.90909,0.00503841278775028,-0.302255625107458
"France","FRA",63337181818.1818,0.312384258258805,3.24245149548031
"Gabon","GAB",47883333.5240682,0.000224390855088494,-0.357777110349005
"Georgia","GEO",2022636363.63636,0.00996440470884253,-0.245442758117531
"Ghana","GHA",9.23e+08,0.00454070197103697,-0.307995865628013
"Guinea","GIN",9953000.03290176,3.73082335920412e-05,-0.359934787475046
"Gambia","GMB",104545454.545455,0.000503863698181186,-0.354553870498786
"Guinea-Bissau","GNB",15043333.530426,6.24151295076763e-05,-0.359645222497873
"Greece","GRC",16909090909.0909,0.0833884082652578,0.601377174748614
"Grenada","GRD",305333333.333333,0.00149420359954526,-0.343131998520048
"Guatemala","GTM",1083309082.03125,0.00533138954363849,-0.298876640787133
"Hong Kong","HKG",37976200000,0.187297064828926,1.7997852880824
"Honduras","HND",589809093.128551,0.00289731467177138,-0.326949519134089
"Croatia","HRV",9410259366.12216,0.0464021512489412,0.17480414458877
"Haiti","HTI",512222222.222222,0.00251463532606398,-0.331363068956283
"Hungary","HUN",7369272727.27273,0.0363354553965541,0.058702075878332
"Indonesia","IDN",11559272727.2727,0.0570016639932355,0.297051342177778
