Country.Name,Country.Code,Land_Area,Avg_Revenue
Late-demographic dividend,LTE,44521646.0,0.0
Lithuania,LTU,62610.0,0.0
Luxembourg,LUX,2574.46,5448636363.63636
Latvia,LVA,62230.0,0.0
"Macao SAR, China",MAC,33.0,33547454545.4545
St. Martin (French part),MAF,50.0,0.0
Morocco,MAR,446300.0,8345000000.0
Monaco,MCO,2.084,0.0
Moldova,MDA,32970.0,352090909.090909
Madagascar,MDG,581800.0,669636363.636364
Maldives,MDV,300.0,2496700000.0
Middle East & North Africa,MEA,11217118.0,0.0
Mexico,MEX,1943950.0,17476000000.0
Marshall Islands,MHL,180.0,10263333.4530724
Middle income,MIC,78883894.47,0.0
North Macedonia,MKD,25220.0,288090909.090909
Mali,MLI,1220190.0,198566665.649414
Malta,MLT,320.0,0.0
Myanmar,MMR,652670.0,1427300000.0
Middle East & North Africa (excluding high income),MNA,8634848.0,0.0
Montenegro,MNE,13450.0,923090909.090909
Mongolia,MNG,1557507.0,317545454.545455
Northern Mariana Islands,MNP,460.0,0.0
Mozambique,MOZ,786380.0,202818181.818182
Mauritania,MRT,1030700.0,28455555.5449592
Mauritius,MUS,1997.0,1699545454.54545
Malawi,MWI,94280.0,40090909.0909091
Malaysia,MYS,328550.0,19724363636.3636
North America,NAC,17936174.0,0.0
Namibia,NAM,823290.0,426363636.363636
New Caledonia,NCL,18280.0,266714285.714286
Niger,NER,1266700.0,86850000.0
Nigeria,NGA,910770.0,1019636363.63636
Nicaragua,NIC,120340.0,0.0
Netherlands,NLD,33670.0,19351855577.2569
Norway,NOR,364270.0,6278363636.36364
Nepal,NPL,143350.0,512818181.818182
Nauru,NRU,20.0,2388888.88888889
New Zealand,NZL,263310.0,8640888888.88889
OECD members,OED,35331823.4,0.0
Oman,OMN,309500.0,1999000000.0
Other small states,OSS,2031538.0,0.0
Pakistan,PAK,770880.0,929090909.090909
Panama,PAN,74180.0,5172727272.72727
Peru,PER,1280000.0,3569363636.36364
Philippines,PHL,298170.0,6282363636.36364
Palau,PLW,460.0,119250000.0
Papua New Guinea,PNG,452860.0,5012857.18168531
Poland,POL,306100.0,12241272727.2727
Pre-demographic dividend,PRE,20308679.83,0.0
Puerto Rico,PRI,8870.0,3436363636.36364
"Korea, Dem. People's Rep.",PRK,120410.0,0.0
Portugal,PRT,91605.6,17322727272.7273
Paraguay,PRY,397300.0,310636363.636364
West Bank and Gaza,PSE,6025.0,382888888.888889
Pacific island small states,PSS,64150.0,0.0
Post-demographic dividend,PST,31168492.4,0.0
French Polynesia,PYF,3471.0,742285714.285714
Qatar,QAT,11490.0,11639600000.0
Romania,ROU,230080.0,2566545454.54545
Russian Federation,RUS,16376870.0,15418363636.3636
Rwanda,RWA,24670.0,396400002.21946
South Asia,SAS,4770120.0,0.0
Saudi Arabia,SAU,2149690.0,11420909090.9091
Sudan,SDN,1868000.0,755888888.888889
Senegal,SEN,192530.0,479777777.777778
Singapore,SGP,718.0,18351333333.3333
Solomon Islands,SLB,27990.0,64400000.4855069
Sierra Leone,SLE,72180.0,41555555.5555556
El Salvador,SLV,20720.0,1090363636.36364
San Marino,SMR,60.0,0.0
Somalia,SOM,627340.0,0.0
Serbia,SRB,84090.0,1418545454.54545
Sub-Saharan Africa (excluding high income),SSA,23890403.09,0.0
South Sudan,SSD,631930.0,20875000.0
Sub-Saharan Africa,SSF,23890863.09,0.0
Small states,SST,2500538.0,0.0
Sao Tome and Principe,STP,960.0,44266666.6666667
Suriname,SUR,156000.0,72909090.9090909
Slovak Republic,SVK,48080.0,2622272727.27273
Slovenia,SVN,20136.4,2834781827.05966
Sweden,SWE,407283.54,10674000000.0
Eswatini,SWZ,17200.0,17181818.3552135
Sint Maarten (Dutch part),SXM,34.0,718727272.727273
Seychelles,SYC,460.0,468727272.727273
Syrian Arab Republic,SYR,183630.0,4062000000.0
Turks and Caicos Islands,TCA,950.0,0.0
Chad,TCD,1259200.0,0.0
East Asia & Pacific (IDA & IBRD countries),TEA,15881181.47,0.0
Europe & Central Asia (IDA & IBRD countries),TEC,22985363.0,0.0
Togo,TGO,54390.0,219900000.0
Thailand,THA,510890.0,41907454545.4545
Tajikistan,TJK,138790.0,180481820.539995
Turkmenistan,TKM,469930.0,0.0
Latin America & the Caribbean (IDA & IBRD countries),TLA,19912693.0,0.0
Timor-Leste,TLS,14870.0,43000000.0
Middle East & North Africa (IDA & IBRD countries),TMN,8628823.0,0.0
Tonga,TON,720.0,43236363.4976474
South Asia (IDA & IBRD),TSA,4770120.0,0.0
